,product_name,review_date,review_content,review_star,review_writer,tokenized_reviews,replaced_review
20557,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2019.12.11,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
아직은  모르지만  좋을거라생각하고 열심히 먹겠습니다
상세보기",3.0,sj71****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '아직', '모르다', '좋다', '생각', '열심히', '먹다', '상세', '보기']",빨르다 아직 모르다 좋다
20578,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2018.05.01,"배송 빨라요 맛 보통이에요 유통기한 보통이에요
선물인데 박스가 이렇게 찍어져서 왔네요 돈더주고 박스에 할 필요가없는것같아요 비록 얼마 차이안나지만 받는 입장은 별로네요
상세보기",2.0,powe********,"['배송', '빨르다', '보통', '유통', '기한', '보통', '선물', '박스', '이렇게', '찍다', '오다', '덥다', '박스', '하다', '필요', '없다', '같다', '비록', '얼마', '차이다', '받다', '입장', '별로', '상세', '보기']",빨르다 선물 박스 이렇게 찍다 덥다 박스 필요 차이다 입장 별로
20580,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.12.17,"가격 괜찮네요 배송 보통이에요
처음 먹어 보는 건대 어떨지!!! 눈이 건조해서 함 먹어볼려고요
상세보기",3.0,kist******,"['가격', '괜찮다', '배송', '보통', '처음', '먹다', '보다', '건대', '어떻다', '건조하다', '먹다', '보다', '상세', '보기']",가격 괜찮다 건대 어떻다 건조하다
20585,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2019.04.27,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
뚜껑을 따는순간 멸치비린내로 1차적 짜증 오메가 한갤 집어든 순간 미끈한게 손에 묻어나서 2차적 짜증 다시 여기서 안사먹을것임.",2.0,nari****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '뚜껑', '따다', '순간', '멸치', '비리다', '짜증', '오메가', '하다', '개다', '집다', '순간', '미끈하다', '묻다', '짜증', '다시', '여기', '사먹다']",뚜껑 따다 멸치 비리다 짜증 오메가 개다 집다 미끈하다 묻다 짜증 다시 사먹다
20614,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2018.05.09,"배송 빨라요 맛 맛있어요 유통기한 기한이 넉넉해요
두번째 구매",3.0,fudn****,"['배송', '빨르다', '맛있다', '유통', '기한', '기한', '넉넉하다', '두번째', '구매']",빨르다 맛있다 두번째 구매
20618,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2018.03.22,"배송 보통이에요 맛 보통이에요 유통기한 보통이에요
먹던거예요할인한다길래미리삿어용 ㅋㅋㅈ",3.0,woon*******,"['배송', '보통', '보통', '유통', '기한', '보통', '먹다', '할인', '미리']",할인 미리
20644,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.09.20,"가격 괜찮네요 배송 보통이에요
ㅎㅎ먹어봐야효과를 알겠지만 ㅎㅎ믿고 먹어볼께요",3.0,unju****,"['가격', '괜찮다', '배송', '보통', '먹다', '보다', '효과', '알다', '믿다', '먹다', '보다']",가격 괜찮다 알다 믿다
20647,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.09.04,"가격 괜찮네요 배송 보통이에요
잘먹겠습니다",3.0,htjd***,"['가격', '괜찮다', '배송', '보통', '먹다']",가격 괜찮다
20652,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.08.02,"가격 괜찮네요 배송 보통이에요
서비스도 주셨네요 감사합니다",2.0,나무나무맘,"['가격', '괜찮다', '배송', '보통', '서비스', '주다', '감사하다']",가격 괜찮다 감사하다
20663,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.06.20,"가격 괜찮네요 배송 보통이에요
좋은제품빠른배송감사합니다",3.0,gand*****,"['가격', '괜찮다', '배송', '보통', '좋다', '제품', '빠르다', '배송', '감사하다']",가격 괜찮다 좋다 제품 감사하다
20666,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.05.26,"가격 안 싸네요 배송 느려요
복용후 리뷰남길게요",2.0,tjda*****,"['가격', '싸다', '배송', '느리다', '복용', '리뷰', '남다']",가격 싸다 느리다 복용 리뷰 남다
20669,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.04.26,"가격 괜찮네요 배송 보통이에요
좋아요.",3.0,temp***,"['가격', '괜찮다', '배송', '보통', '좋다']",가격 괜찮다 좋다
20679,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.02.16,"가격 괜찮네요 배송 보통이에요
신랑이 먹고 몸이 좀 좋아졌어요!",3.0,ilue***,"['가격', '괜찮다', '배송', '보통', '신랑', '먹다', '좋아지다']",가격 괜찮다 신랑 좋아지다
20680,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.01.23,"가격 괜찮네요 배송 보통이에요
먹던 제품이라 친구도 추천해줌 ㅋㅋ",3.0,kkkk****,"['가격', '괜찮다', '배송', '보통', '먹다', '제품', '친구', '추천', '해주다']",가격 괜찮다 제품 추천 해주다
20686,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.12.06,"가격 괜찮네요 배송 보통이에요
감사합니다",3.0,love*****,"['가격', '괜찮다', '배송', '보통', '감사하다']",가격 괜찮다 감사하다
20699,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.10.11,"가격 괜찮네요 배송 보통이에요
쏘쏘예요~~~",3.0,yash******,"['가격', '괜찮다', '배송', '보통', '쏘다', '쏘다']",가격 괜찮다 쏘다 쏘다
20706,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.07.23,"가격 괜찮네요 배송 보통이에요
다른사이트에서 2개 가격이 더저렴 ㅠㅜ 계속 먹던거라서. .구매합니다
상세보기
상세보기",3.0,로또는운명,"['가격', '괜찮다', '배송', '보통', '사이트', '가격', '저렴', '계속', '먹다', '구매', '하다', '상세', '보기', '상세', '보기']",가격 괜찮다 사이트 가격 저렴 구매
20707,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.07.16,"가격 괜찮네요 배송 느려요
배송 매우 느림. 무엇보다 SK트리플케어 유효기간이 2개월 조금 넘게 남음... 뭐죠... ㅡ_ㅡ?
상세보기",1.0,bnbn**,"['가격', '괜찮다', '배송', '느리다', '배송', '매우', '느리다', '무엇', '트리플', '케어', '유효', '기간', '개월', '조금', '넘다', '남다', '상세', '보기']",가격 괜찮다 느리다 느리다 트리플 케어 유효 기간 넘다 남다
20710,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.07.11,"가격 괜찮네요 배송 보통이에요
배송도 빠르고 괜찮네요 잘 받았습니다
상세보기",3.0,베어삼촌,"['가격', '괜찮다', '배송', '보통', '배송', '빠르다', '괜찮다', '자다', '받다', '상세', '보기']",가격 괜찮다 괜찮다
20711,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.07.10,"가격 괜찮네요 배송 보통이에요
가격대비 좋네요
상세보기",3.0,pppp****,"['가격', '괜찮다', '배송', '보통', '가격', '대비', '좋다', '상세', '보기']",가격 괜찮다 가격 대비 좋다
20723,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.05.20,"가격 괜찮네요 배송 보통이에요
오늘 저녁 식사를 할.",3.0,crod****,"['가격', '괜찮다', '배송', '보통', '오늘', '저녁', '식사', '하다']",가격 괜찮다 저녁 식사
20728,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.05.01,"가격 괜찮네요 배송 보통이에요
효과는 모르겠지만 좋겠죠/",3.0,tbtf****,"['가격', '괜찮다', '배송', '보통', '효과', '모르다', '좋다']",가격 괜찮다 모르다 좋다
20729,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.04.10,"가격 괜찮네요 배송 보통이에요
괜찮겠죠",3.0,tjzo**,"['가격', '괜찮다', '배송', '보통', '괜찮다']",가격 괜찮다 괜찮다
20742,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.11.18,"몇번이나 사는 단골인대 이번에 선물용으로 세개짜리 샀는데 이게 무슨짓이예요?밖에 포장박스는 멀쩡한데 안쪽에 다찌그러지고 .이건 단골은 이미 단골이니까 막 대하자는건가요. 내 또 이집에서 사나봐라.?
상세보기",2.0,imli********,"['몇번', '살다', '단골', '인대', '이번', '선물', '짜다', '사다', '포장', '박스', '멀쩡하다', '안쪽', '찌그러지다', '단골', '이미', '단골', '하자', '건가', '이집', '사나', '보다', '상세', '보기']",몇번 살다 단골 선물 짜다 사다 박스 멀쩡하다 안쪽 찌그러지다 단골 이미 단골 하자 이집 사나
20746,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.08.12,"내부박스 다 찢어져있음 선물용이라고 팔면서 이런걸 보내면 어쩌라는건지 모르겠네요 선물할껀데 교환할 시간여유도 안되고 그냥 드릴수밖에 없게 됐는데.. 받아서 열어보는순간 딱 제가느꼈던 생각을 하실까봐 걱정이네요 대놓고 선물용이라고 돈더받고 팔면 신경좀씁시다
상세보기",2.0,dspr**,"['내부', '박스', '찢어지다', '선물', '용이', '팔면', '보내다', '어쩌', '은지', '모르다', '선물', '할껀', '교환', '하다', '시간', '여유도', '안되다', '그냥', '드리다', '없다', '돼다', '받다', '어보', '순간', '느끼다', '생각', '하다', '걱정', '대놓고', '선물', '용이', '돈더', '받다', '팔면', '쓰다', '상세', '보기']",내부 박스 찢어지다 선물 용이 팔면 보내다 어쩌 은지 모르다 선물 할껀 교환 여유도 안되다 드리다 돼다 어보 느끼다 걱정 대놓고 선물 용이 돈더 팔면 쓰다
20758,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.05.10,"두병인줄 알고시켰는데 알고보니 한병이네여 ㅜ
상세보기",3.0,sret**,"['병인', '시키다', '보다', '상세', '보기']",병인
20759,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.05.09,"돈아깝네요 선물하려고 주문했는데... 일단 배송이 느림 선물용이라 적은금액이지맘 추가금내고 박스있는 재품으로 구입했는데 박스가 이모양이네요 외박스도 아니고 내박스가 4군데 찢어짐.. 배송중 그런것도 아니고 애초에 찢어진박스로 보낸건데... 박스 버리고 병채선물드렸네요
상세보기",2.0,scvk*****,"['아깝다', '선물', '하다', '주문', '하다', '일단', '배송', '느리다', '선물', '용이', '적다', '금액', '추가', '내다', '박스', '있다', '재품', '구입', '하다', '박스', '모양', '박스', '아니다', '박스', '군데', '찢어지다', '배송', '아니다', '애초', '찢어지다', '박스', '보내다', '박스', '버리다', '병채', '선물', '드리다', '상세', '보기']",아깝다 선물 주문 느리다 선물 용이 적다 금액 추가 내다 박스 재품 구입 박스 모양 박스 아니다 박스 군데 찢어지다 아니다 찢어지다 박스 보내다 박스 버리다 병채 선물 드리다
20788,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2017.01.01,"가격 괜찮네요 배송 빨라요
좋은물거 싸게 잘 구입했어요~",3.0,pupu****,"['가격', '괜찮다', '배송', '빨르다', '좋다', '물다', '싸다', '자다', '구입', '하다']",가격 괜찮다 빨르다 좋다 물다 싸다 구입
20791,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2016.03.04,"가격 괜찮네요 배송 보통이에요
그냥그래요",3.0,버거킹찐조아,"['가격', '괜찮다', '배송', '보통', '그냥', '그렇다']",가격 괜찮다 그렇다
20810,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.08.17,유통기한 기한이 넉넉해요 포장상태 보통이에요,3.0,jp94**,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '보통']",상태
20818,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.07.27,"유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요
배송도 빠르고 제품도 좋아요",3.0,choi*****,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통', '배송', '빠르다', '제품', '좋다']",상태 제품 좋다
20825,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.07.19,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
효과는 잘 모르지만 꾸준히 먹고 있어요.",3.0,hmin*****,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '보통', '효과', '자다', '모르다', '꾸준하다', '먹다', '있다']",상태 깔끔하다 모르다 꾸준하다
20866,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.04.19,유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요,3.0,cho1*****,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통']",상태
20892,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.03.28,유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요,3.0,hyun****,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '보통']",상태 깔끔하다
20910,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.02.25,유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요,3.0,mage*******,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '보통']",상태 깔끔하다
20918,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.02.18,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
항상 믿고 먹는 종근당 오메가3 
가성비짱 입니다 ",3.0,chum**,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '효과', '좋다', '항상', '믿다', '먹다', '종근당', '오메가', '가성', '이다']",상태 깔끔하다 좋다 항상 믿다 종근당 오메가 가성
20928,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.02.12,"유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요
좋아요 잘먹을께요....",3.0,마장리,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통', '좋다', '먹다']",상태 좋다
20935,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.02.06,유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요,3.0,처음？p번ㅇ마지막완전불양품,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통']",상태
20937,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.02.05,"유통기한 기한이 짧아요 포장상태 포장이 별로예요 효과 효과 별로예요
이제품 사기 에요 저는 위염에 식도염 까지 알고보니 제품   이중포장 스티커 덧붙여 성분도 완전 사기 불행중 다 먹지 않고 1통 80프로정도 먹고 나머지 모두 쓰레기 ？？ 버렸어요 절대 구매 하지 마세요",1.0,woni**,"['유통', '기한', '기한', '짧다', '포장', '상태', '포장', '별로', '효과', '효과', '별로', '제품', '사기', '위염', '식도염', '보다', '제품', '이중', '포장', '스티커', '덧붙이다', '성분', '완전', '사기', '불행중', '먹다', '않다', '프로', '정도', '먹다', '나머지', '모두', '쓰레기', '버리다', '절대', '구매', '하다', '말다']",짧다 상태 별로 별로 제품 사기 위염 식도염 제품 이중 스티커 덧붙이다 성분 사기 불행중 나머지 쓰레기 버리다 구매
20953,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.01.10,유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요,3.0,금잔화,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통']",상태
20956,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2023.01.06,유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요,3.0,cjsl******,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통']",상태
20965,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.31,유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요,3.0,맛나요,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '보통']",상태 깔끔하다
20977,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.19,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,2.0,1944***************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
20979,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.16,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,iniy*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
20982,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.14,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
아직 안먹었지만 기대하고있 습니다",3.0,suwo***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '아직', '먹다', '기대하다']",빨르다 아직 기대하다
20989,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.08,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
한번 먹어보려고요..",3.0,1698***************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '한번', '먹다', '보다']",
20990,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.08,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,yjro******,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
20995,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.12.06,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
가격도저렴하고좋아요 ",3.0,altn*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '가격', '저렴하다', '좋다']",빨르다 가격 저렴하다 좋다
21023,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.11.16,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,sch9***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21049,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.09.21,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,wind****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21050,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.09.17,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,sphc***,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다
21060,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.08.23,배송 빨라요 성능 성능이 뛰어나요 유통기한 보통이에요,3.0,ku77**,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '보통']",빨르다 뛰어나다
21071,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.08.05,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,ss56**,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다
21073,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.08.04,배송 빨라요 성능 성능이 별로예요 유통기한 보통이에요,3.0,처음？p번ㅇ마지막완전불양품,"['배송', '빨르다', '성능', '성능', '별로', '유통', '기한', '보통']",빨르다 별로
21081,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.07.14,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
꾸준히 먹고 있어 요,,,",3.0,csb3***,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '꾸준하다', '먹다', '있다']",빨르다 뛰어나다 꾸준하다
21094,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.07.01,성능 보통이에요 유통기한 보통이에요,3.0,beee**,"['성능', '보통', '유통', '기한', '보통']",
21102,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.06.22,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,hski*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21125,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2022.03.20,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,smse***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21148,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.12.13,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,bnk8***************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21152,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.11.25,"배송 빨라요
아직복용전임",3.0,처음？p번ㅇ마지막완전불양품,"['배송', '빨르다', '아직', '복용', '전임']",빨르다 아직 복용 전임
21170,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.10.24,성능 보통이에요 유통기한 보통이에요,3.0,jino**,"['성능', '보통', '유통', '기한', '보통']",
21181,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.10.12,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,0823메이데이,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다
21185,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.10.04,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
아직 효과는 잘 모르겠어요",3.0,ljhl************,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '아직', '효과', '자다', '모르다']",빨르다 아직 모르다
21198,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.10.01,"배송 느려요 성능 보통이에요 유통기한 보통이에요
일단 배송이 너무 늦네요;
헐.
약은 먹어보며 천천히 다시 이야기할께요",3.0,와락이,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통', '일단', '배송', '너무', '늦다', '헐다', '먹다', '보다', '천천히', '다시', '이야기', '하다']",느리다 늦다 헐다 천천히 다시 이야기
21200,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.10.01,"배송 느려요 성능 보통이에요 유통기한 보통이에요
배송도느렸고  선물하려고구매했는데 박스가찌그러져 찢어져서왔네요 포장이부실해서 택배배송중에그렇게된듯ㅠ그냥제가먹기로하고선물인다시구입했네요ㅠ",1.0,julia,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통', '배송', '느리다', '선물', '하다', '구매', '하다', '박스', '찌그러지다', '찢어지다', '오다', '포장', '부실하다', '택배', '배송', '그렇게', '되다', '먹기', '하다', '선물', '다시', '구입', '하다']",느리다 느리다 선물 구매 박스 찌그러지다 찢어지다 부실하다 택배 그렇게 먹기 선물 다시 구입
21212,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.09.24,성능 보통이에요,3.0,kye5***,"['성능', '보통']",
21216,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.09.16,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,smse***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21234,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.08.24,배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,kjs3**,"['배송', '보통', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",
21265,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.07.20,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,kyn0***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
21340,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.06.10,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
세일할때잘 샀어요.",3.0,csb3***,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '하다', '자다', '사다']",빨르다 뛰어나다 사다
21342,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.06.09,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,osb0***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다
21355,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2021.06.01,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,es02***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
