,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review,문장벡터화
8714,8714,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.05.11,4일 주문한 물건이 일주일 후에 도착했네요 11번가에서 구매한 건 중 가장 배송이 느린 것 같네요 중간에 휴일이 있었다고 쳐도 같은 날 구매한 것은 6일에 도착했는데 물류센터에서 2일이나 묵혀있다 오고.... 참 할 말 없네요,2.0,toks***,"['주문', '물건', '일주일', '도착', '하다', '번가', '구매', '가장', '배송', '느리다', '같다', '중간', '휴일', '있다', '치다', '같다', '구매', '도착', '하다', '물류', '센터', '묵다', '오다', '차다', '하다', '없다']",주문 물건 도착 번가 구매 가장 느리다 휴일 치다 구매 도착 물류 센터 묵다 차다,"[(2, 1), (20, 1), (45, 2), (67, 1), (120, 2), (245, 1), (401, 1), (539, 1), (555, 1), (1047, 1), (1096, 1), (1234, 1), (1320, 1)]"
8715,8715,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.05.11,"배송이 너무 느려요 어버이날 선물로 드리려고 5월4일에 주문했는데 5월11일에 받았어요.. 어버이날까지 오기만을 내내 기다렸는데 배송에문제가 있으면 미리 연락좀주시지 ..배송이 너무하지만 싼가격에 구입했습니다
상세보기",3.0,godb******,"['배송', '너무', '느리다', '어버이날', '선물', '드리다', '주문', '하다', '받다', '어버이날', '오기', '내내', '기다리다', '배송', '문제', '있다', '미리', '연락', '좋다', '배송', '너무하다', '싸다', '가격', '구입', '하다', '상세', '보기']",느리다 어버이날 선물 드리다 주문 어버이날 오기 내내 기다리다 문제 미리 연락 좋다 너무하다 싸다 가격 구입,"[(2, 1), (19, 1), (37, 1), (41, 1), (183, 1), (217, 1), (245, 1), (288, 1), (333, 1), (558, 1), (818, 1), (886, 1), (938, 1), (1042, 2), (1321, 1), (1322, 1)]"
8733,8733,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.05.09,배송기간좀기네요 상품은만족함,3.0,hjk3***,"['배송', '기간', '기네', '상품', '만족하다']",기간 기네 상품 만족하다,"[(39, 1), (537, 1), (864, 1), (1323, 1)]"
8808,8808,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2015.02.25,일부러 선물용으로 구입했는데 박스안에 종이가 찢겨있고 통도 기스가 많이 나있었어요 ,2.0,rove**,"['일부러', '선물', '구입', '하다', '박스', '종이', '찢기다', '기스', '많이', '나다']",일부러 선물 구입 박스 종이 찢기다 기스,"[(13, 1), (183, 1), (689, 1), (818, 1), (1181, 1), (1324, 1), (1325, 1)]"
8925,8925,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.08.22,선물용 박스로 2개주문했는데 두개다 이렇게찢어져서왔네요 선물받는사람도그렇지안 주는사람도 그르네요 ㅠ 그냥 안주구먹기로결정 ,2.0,reob***,"['선물', '박스', '주문', '하다', '이렇게', '찢어지다', '오다', '선물', '받다', '사람', '그렇다', '주다', '사람', '그냥', '주다', '먹기', '결정']",선물 박스 주문 이렇게 찢어지다 선물 그렇다 먹기 결정,"[(12, 1), (13, 1), (74, 1), (96, 1), (245, 1), (272, 1), (818, 2), (967, 1)]"
8926,8926,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.08.22,루테인인줄알고 잘못 구매했어요. 그냥 비타민A인줄 몰랐어요. 잘 보고 살걸. 루테인인줄알고 잘못 구매했어요. 그냥 비타민A인줄 몰랐어요. 잘 보고 살걸... ,2.0,wjss**,"['루테', '줄알', '잘못', '구매', '하다', '그냥', '비타민', '이다', '모르다', '자다', '보고', '살걸', '루테', '줄알', '잘못', '구매', '하다', '그냥', '비타민', '이다', '모르다', '자다', '보고', '살걸']",루테 줄알 잘못 구매 비타민 모르다 살걸 루테 줄알 잘못 구매 비타민 모르다 살걸,"[(27, 2), (28, 2), (120, 2), (187, 2), (338, 2), (976, 2), (1326, 2)]"
8936,8936,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.08.19,"꾸준히 한알 씩 먹고 있습니다. 효과는 아직은,,, 쇼킹딜에서 싸게 파네요. 조금 기다릴 걸 아쉽네요",3.0,nasa******************,"['꾸준하다', '먹다', '있다', '효과', '아직', '쇼킹딜', '싸다', '파네', '조금', '기다리다', '아쉽다']",꾸준하다 아직 쇼킹딜 싸다 파네 기다리다 아쉽다,"[(30, 1), (41, 1), (92, 1), (217, 1), (226, 1), (1327, 1), (1328, 1)]"
8950,8950,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.07.18,"1,200mg 중....EPA+DHA가 600mg 잘못밨다.......................",3.0,hss4***,"['가다', '잘못', '밨다']",잘못 밨다,"[(187, 1), (1329, 1)]"
8983,8983,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.06.05,"각 지역마다 택배기사분이 다르지만,, 저는 주문을 하고 6일이나 있다가 받았습니다.. 배송이 느린것만을 제외하고는 좋습니다.",3.0,iook****,"['지역', '택배', '기사', '다르다', '주문', '하다', '있다', '받다', '배송', '느리다', '제외', '좋다']",지역 택배 기사 다르다 주문 느리다 제외 좋다,"[(2, 1), (19, 1), (196, 1), (241, 1), (245, 1), (500, 1), (815, 1), (1330, 1)]"
9028,9028,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.04.28,가격과 배송은 아주 미음에 들었습니다. 그런데 한가지 아쉬운데 밀봉되어 있어야 할 제품이 개봉되어 왔다는게 영~~~~ 바로 교환이 이르어 졋지만 아쉬움은 어쩔 수 없네요,3.0,jcki***,"['가격', '배송', '아주', '미음', '들다', '그런데', '한가지', '아쉽다', '밀봉', '되어다', '있다', '하다', '제품', '개봉', '되어다', '오다', '바로', '교환', '이르다', '아쉬움', '어쩔', '없다']",가격 미음 그런데 한가지 아쉽다 밀봉 제품 개봉 교환 이르다 아쉬움 어쩔,"[(35, 1), (37, 1), (92, 1), (173, 1), (223, 1), (224, 1), (561, 1), (1037, 1), (1054, 1), (1331, 1), (1332, 1), (1333, 1)]"
9030,9030,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.04.25,약은 꾸준히 먹어지 않으면 잘 몰라서 먹어보고 ？I찮으면 다음에 구매할게요... 잘 받았습니다 ,3.0,eyou******,"['꾸준하다', '먹다', '않다', '자다', '모르다', '먹다', '보고', '찮으', '다음', '구매', '하다', '자다', '받다']",꾸준하다 모르다 찮으 구매,"[(28, 1), (120, 1), (226, 1), (1334, 1)]"
9041,9041,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.04.24,"[종근당건강]아이케어 오메가3 로얄 1200mg대용량/눈영양제 비타민 건강식품 설세트 9,900원 [옵션]구성선택1):★아이케어오메가3(1병)-1개",3.0,wcj0***,"['종근당', '건강', '아이', '케어', '오메가', '로얄', '용량', '양제', '비타민', '건강', '식품', '세트', '옵션', '성선택', '아이', '케어', '오메가']",종근당 건강 케어 오메가 로얄 용량 양제 비타민 건강 식품 세트 옵션 성선택 케어 오메가,"[(6, 2), (32, 2), (159, 1), (299, 1), (338, 1), (424, 1), (588, 1), (996, 1), (1006, 2), (1043, 1), (1289, 1), (1335, 1)]"
9043,9043,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.04.23,"눈에도 좋고 지질대사나 갱년기등 여러가지에 좋다고 해서 구입했네요 일단 꾸준하게 먹어 볼께요,,,",3.0,seon********,"['좋다', '지질', '대사', '갱년기', '여러가지', '좋다', '하다', '구입', '하다', '일단', '꾸준하다', '먹다', '보다']",좋다 지질 대사 갱년기 여러가지 좋다 구입 꾸준하다,"[(19, 2), (183, 1), (226, 1), (1336, 1), (1337, 1), (1338, 1), (1339, 1)]"
9045,9045,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.04.22,잘받았습니다. 전에 비싸게 주고 샀는데 이번에 행사할때 저렴하게 구매했어요. 효과있는줄은 모르겠는데 그냥 꾸준히 먹고 있답니다. 꾸준히 먹다보면 안먹는것보단 낫겠죠. 잘먹겠습니다. 수고하세요^^~~~~~,3.0,koko******,"['받다', '비싸다', '주다', '사다', '이번', '행사', '하다', '저렴하다', '구매', '하다', '효과', '있다', '모르다', '그냥', '꾸준하다', '먹다', '있다', '꾸준하다', '먹다', '보다', '먹다', '낫다', '먹다', '수고', '하다']",비싸다 사다 행사 저렴하다 구매 모르다 꾸준하다 꾸준하다 낫다,"[(5, 1), (28, 1), (120, 1), (158, 1), (226, 2), (279, 1), (335, 1), (1279, 1)]"
9052,9052,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.03.21,꾸준히 먹고야 있지만...이상품을 평가하기가...ㅋㅋ 몸의 특별한 변화가 있거나 그런게 아니라서...그냥 좋은게 좋은거... 열심히 먹고 있어요~~~~~~,3.0,miss****,"['꾸준하다', '먹다', '있다', '상품', '평가', '하다', '특별하다', '변화', '있다', '그렇다', '아니다', '그냥', '좋다', '좋다', '열심히', '먹다', '있다']",꾸준하다 상품 평가 특별하다 변화 그렇다 아니다 좋다 좋다,"[(19, 2), (39, 1), (54, 1), (74, 1), (226, 1), (318, 1), (391, 1), (1340, 1)]"
9081,9081,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2014.01.14,한달정도 섭취했는데 아직은 별효과를보지못했네요 ,3.0,whgm*****,"['정도', '섭취', '하다', '아직', '효과', '보다', '하다']",섭취 아직,"[(30, 1), (90, 1)]"
9175,9175,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2013.04.15,"동네 약국보다 훨씬싸고 좋네요 효과는 2병다 먹어봐야 아는거고, 제조일자도 괜찮네요 배송만 좀 빠르면 나쁘지 않네요",3.0,osim****,"['동네', '약국', '훨씬', '싸다', '좋다', '효과', '먹다', '보다', '알다', '자도', '괜찮다', '배송', '빠르다', '나쁘다', '않다']",동네 약국 싸다 좋다 알다 자도 괜찮다 나쁘다,"[(19, 1), (55, 1), (119, 1), (217, 1), (630, 1), (855, 1), (1275, 1), (1341, 1)]"
9219,9219,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.12.06,잘먹고있어요~~ 좋은지 않좋은지는 모르겠다고하지만 오메가 딴거 먹다가~ 다 떨어져서 세일하는겸 사봤는데 홈쇼핑에도 나오더라구요~ 물론 이제품은 아니지만 가틍ㄴ 종근당꺼였음 뭐 믿을만 하겟죠 종근당이니까,3.0,띵가띵가,"['먹다', '좋다', '않다', '좋다', '모르다', '하지만', '오메가', '따다', '먹다', '떨어지다', '사보다', '홈쇼핑', '나오다', '물론', '제품', '아니다', '가틍', '종근당', '끄다', '믿다', '하겟', '종근당']",좋다 좋다 모르다 하지만 오메가 따다 떨어지다 사보다 홈쇼핑 제품 아니다 가틍 종근당 끄다 믿다 하겟 종근당,"[(19, 2), (28, 1), (32, 1), (35, 1), (54, 1), (131, 1), (219, 1), (501, 1), (528, 1), (588, 2), (589, 1), (1342, 1), (1343, 1), (1344, 1), (1345, 1)]"
9223,9223,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.11.28,잘 샀습니다 많이 파세요 잘 샀습니다 많이 파세요 잘 샀습니다 많이 파세요 잘 샀습니다 많이 파세요 잘 샀습니다 많이 파세요 잘 샀습니다 많이 파세요 ,3.0,sphi******,"['자다', '사다', '많이', '파다', '자다', '사다', '많이', '파다', '자다', '사다', '많이', '파다', '자다', '사다', '많이', '파다', '자다', '사다', '많이', '파다', '자다', '사다', '많이', '파다']",사다 파다 사다 파다 사다 파다 사다 파다 사다 파다 사다 파다,"[(158, 6), (813, 6)]"
9254,9254,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.09.21,혹시 밑에 부분 보이시나요.... 택배 아저씨가 험하게 다루셨나봐요.. 이거 추석때 내려가서 부모님 드릴려고 했는데.. 밑에 부분 다 찢어지고.. 이건 어떻게 포장도 못하겠고... 아놔...... 그래도 배송은 빨라서 좋았어요...,3.0,suny****,"['혹시', '부분', '보이다', '택배', '아저씨', '험하다', '다루다', '보다', '추석', '내려가다', '부모님', '드리다', '하다', '부분', '찢어지다', '어떻다', '포장', '하다', '놓다', '그래도', '배송', '좋다']",보이다 택배 아저씨 험하다 다루다 추석 내려가다 부모님 드리다 찢어지다 어떻다 놓다 좋다,"[(19, 1), (86, 1), (241, 1), (333, 1), (476, 1), (510, 1), (787, 1), (967, 1), (1346, 1), (1347, 1), (1348, 1), (1349, 1), (1350, 1)]"
9257,9257,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.09.20,"이것저것보다가 오메가 3 괜찮은것같아서 구매했어요.. 선물할거라 500원 주고 쇼핑팩도 구매했다죠 택배 밤 9시에 왔네요.. 애들 목욕 신나게 시키는데.. 상자을 받아보니 무슨 상자로 축구을했나? ㅋㅋ 선물할 물건인데 본채상자까지도 다찌그러져있음.. 그래.. 이건 택배사가 물건을 잘못다뤄 그랬다고 칩시다.. 쇼핑팩 !!! 저게 어디 500원짜립니까? ㅋㅋㅋㅋㅋ 저런쇼핑팩인줄 알았으면 절대 500원 주고 안샀습니다.. 얇은 종이쪼가리 쇼핑팩 확인들하시구 추가구매하시고요.. 글루코사민 !!! 유통기한 확인하시구 구매하세요.. ㅋㅋ 저처럼 확인안하고 추가구매했다가 2통이나 샀는데 4개월분인데 유통기간이 12년 12월까지 ㄷㄷㄷㄷㄷㄷㄷㄷ ㅋㅋㅋㅋㅋㅋㅋㅋ 하루에 몇알씩 쳐묵쳐묵~~ 뼈가 튼튼? ㅋㅋ 선물하긴 다 글럿네요 .. 내가 다 냠냠하던가해야지원. 상자 다찌그러지고.. 유통기간도 코앞인것을 선물했다가는 귀싸대기맞을듯 ㅎㅎㅎㅎㅎ 억하심정 업으므니다.. 전 가정주부이고. 있는그대루 올립니다.. 참고하시고 구매들 하세요!!!!
더보기",3.0,ashe*****,"['가다', '오메가', '괜찮다', '같다', '구매', '하다', '선물', '하다', '주다', '쇼핑', '구매', '하다', '택배', '오다', '목욕', '신나다', '시키다', '받다', '보다', '무슨', '상자', '축구을했', '선물', '하다', '물건', '본채', '상자', '찌그러지다', '그렇다', '택배', '사가', '물건', '다루다', '그랬다고', '치다', '쇼핑', '어디', '쇼핑', '알다', '절대', '주다', '사다', '얇다', '종이', '쪼가리', '쇼핑', '확인', '하다', '추가', '구매', '하다', '글루코사민', '유통', '기한', '확인', '하다', '구매', '하다', '확인', '추가', '구매', '하다', '사다', '개월', '유통기간', '하루', '치다', '치다', '틀다', '틀다', '선물', '하다', '글럿네', '냠냠', '하다', '가하다', '지원', '상자', '찌그러지다', '유통기간', '코앞', '선물', '하다', '싸대기', '맞다', '억하심정', '업으므니', '가정', '주부', '있다', '대루', '올리다', '참고', '하다', '구매', '하다', '보기']",오메가 괜찮다 구매 선물 쇼핑 구매 택배 목욕 신나다 상자 축구을했 선물 물건 본채 상자 찌그러지다 그렇다 택배 사가 물건 다루다 그랬다고 치다 쇼핑 쇼핑 알다 사다 얇다 종이 쪼가리 쇼핑 확인 추가 구매 글루코사민 확인 구매 확인 추가 구매 사다 유통기간 치다 치다 틀다 틀다 선물 글럿네 냠냠 가하다 지원 상자 찌그러지다 유통기간 코앞 선물 싸대기 맞다 억하심정 업으므니 가정 주부 대루 올리다 참고 구매,"[(32, 1), (55, 1), (74, 1), (116, 3), (119, 1), (120, 6), (158, 2), (192, 1), (241, 2), (517, 2), (539, 2), (555, 3), (579, 1), (818, 4), (949, 1), (960, 3), (968, 1), (987, 4), (1166, 2), (1181, 1), (1348, 1), (1351, 1), (1352, 1), (1353, 1), (1354, 1), (1355, 1), (1356, 1), (1357, 1), (1358, 1), (1359, 1), (1360, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 2), (1366, 1), (1367, 1), (1368, 1), (1369, 1), (1370, 1), (1371, 2)]"
9355,9355,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.05.12,가격은 맘에 듭니다 이후는 머라하기에.. 가격은 맘에 듭니다 이후는 머라하기에.. 가격은 맘에 듭니다 이후는 머라하기에.. 가격은 맘에 듭니다 이후는 머라하기에.. 가격은 맘에 듭니다 이후는 머라하기에..,3.0,good******,"['가격', '듭니', '이후', '하다', '가격', '듭니', '이후', '하다', '가격', '듭니', '이후', '하다', '가격', '듭니', '이후', '하다', '가격', '듭니', '이후', '하다']",가격 듭니 가격 듭니 가격 듭니 가격 듭니 가격 듭니,"[(37, 5), (1268, 5)]"
9360,9360,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.05.09,식품을이딴식으로보내시나? 비타민들어있는박스며통이다찌그러져오고! 달랑비닐에다넣어보내고! 이딴식으로상품을보내면받는입장에서얼마나기분나쁜지생각안해봤나?어버이날이라오메가드릴려고했뜨만내가낮뜨거워서원!!!!!!!! 이딴식으로보내실꺼면아예상풍자차를판매하지마세요!! 받는소비자입장에선정말기분드러우니까! ,2.0,gust******,"['식품', '보내다', '비타민', '들다', '박스', '찌그러지다', '달랑', '비닐', '넣다', '보내다', '상품', '보내다', '받다', '입장', '얼마나', '기분', '나쁘다', '생각', '안해', '보다', '어버이날', '오메가', '드리다', '하다', '뜨다', '뜨겁다', '서원', '보내다', '예상', '풍자', '판매', '말다', '받다', '소비자', '입장', '정말', '기분', '드럽다']",식품 보내다 비타민 박스 찌그러지다 달랑 비닐 넣다 보내다 상품 보내다 입장 기분 나쁘다 안해 어버이날 오메가 드리다 뜨다 뜨겁다 서원 보내다 예상 풍자 판매 입장 정말 기분 드럽다,"[(13, 1), (32, 1), (39, 1), (43, 1), (122, 1), (257, 4), (299, 1), (333, 1), (338, 1), (449, 1), (468, 1), (506, 1), (526, 1), (628, 2), (630, 1), (681, 1), (1042, 1), (1052, 1), (1166, 1), (1185, 2), (1372, 1), (1373, 1), (1374, 1), (1375, 1)]"
9390,9390,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2012.01.23,배송은 빨게 잘왔습니다만 쇼핑백은 더럽고 구겨져왔더라고요 선물포장은 무난했지만 쇼핑백은 영이니네요 그리고 선물받으신분이 뜯어보니까 안에 내용물을 지지하고있어야하는 종이가 뜯어져있었다는데 이건좀 그렇더라구요,3.0,hoho***,"['배송', '오다', '쇼핑', '더럽다', '구기다', '오다', '선물', '포장', '무난', '하다', '쇼핑', '그리고', '선물', '받다', '신분', '뜯다', '내용물', '지지', '하다', '하다', '종이', '뜯다', '그렇다']",쇼핑 더럽다 구기다 선물 무난 쇼핑 선물 신분 내용물 지지 종이 그렇다,"[(53, 1), (74, 1), (140, 1), (499, 1), (818, 2), (862, 1), (987, 2), (1181, 1), (1273, 1), (1376, 1)]"
9418,9418,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2011.08.30,포장상태가 생각보다 안 좋아서 놀랬습니다. 안에 들어 있는 약 상자가 조금 뜯어져있더라고요.... 포장을 좀 더 신경쓰세요...ㅡㅡ 그거 빼고야 뭐 약이니깐 다를바가 없겠죠...ㅡㅡ 어쨋든 잘 받았습니다.,3.0,zotm*****,"['포장', '상태', '생각', '좋다', '놀래다', '들다', '있다', '상자', '조금', '뜯다', '포장', '신경', '쓸다', '그거', '빼다', '다르다', '없다', '어쨋', '자다', '받다']",상태 좋다 놀래다 상자 신경 쓸다 빼다 다르다 어쨋,"[(19, 1), (29, 1), (295, 1), (500, 1), (960, 1), (992, 1), (1038, 1), (1071, 1), (1377, 1)]"
9441,9441,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2011.04.27,아직 먹어보진 않았지만 ㅋㅋ 왠지 괜찮은거 같아요 ㅎㅎ 제가 이번에 친구 생일 선물로 사주려고 샀는데 ㅎㅎㅎ 주면 굉장히 좋아할거 같아여 자주 이용해야 될꺼 같아요 ㅎㅎㅎㅎ,3.0,tpgu*****,"['아직', '먹다', '보다', '않다', '왠지', '괜찮다', '같다', '이번', '친구', '생일', '선물', '사주다', '사다', '주다', '굉장하다', '좋아하다', '같다', '자주', '이용', '하다', '되다', '같다']",아직 왠지 괜찮다 생일 선물 사주다 사다 굉장하다 좋아하다 자주,"[(30, 1), (119, 1), (158, 1), (692, 1), (779, 1), (818, 1), (1082, 1), (1378, 1), (1379, 1), (1380, 1)]"
9446,9446,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2011.04.06,배송은 생각보다 빠른 것 같고.. 눈건강도 눈건강이지만 비타민A랑 비타민E랑 오메가3가 함께 들어잇다고 해서 사봤어요 잘 먹어볼께요 아직 효과는 모르겟네요 상품평도 구매하는데 도움이 좀 된 것 같네요 ---------------------------------------------------------------------------------------,3.0,sbsh****,"['배송', '생각', '빠르다', '같다', '건강', '건강', '비타민', '비타민', '오메가', '가다', '함께', '들다', '잇다', '하다', '사보다', '자다', '먹다', '보다', '아직', '효과', '모르다', '상품', '구매', '하다', '도움', '되다', '같다']",건강 건강 비타민 비타민 오메가 잇다 사보다 아직 모르다 상품 구매 도움,"[(6, 2), (26, 1), (28, 1), (30, 1), (32, 1), (39, 1), (120, 1), (338, 2), (472, 1), (1343, 1)]"
9461,9461,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2011.01.29,자세한건 저도잘 모르구요 어머니 잘드시는거같아요 약국가면 비싼데 나름 싸게 잘 산거같아 좋구요 다음에도 또 구매할기회생기면 구매하겠습니다. 추운데 고생하시네요 감사합니다,3.0,jspz**,"['자세하다', '자다', '모르다', '어머니', '들다', '같다', '약국', '가면', '비싸다', '나름', '싸다', '자다', '사다', '같다', '좋다', '다음', '구매', '할기다', '회생', '기면', '구매', '하다', '추다', '고생', '하다', '감사하다']",자세하다 모르다 약국 가면 비싸다 싸다 사다 좋다 구매 할기다 회생 기면 구매 추다 감사하다,"[(5, 1), (19, 1), (28, 1), (120, 2), (158, 1), (217, 1), (371, 1), (760, 1), (843, 1), (855, 1), (1381, 1), (1382, 1), (1383, 1), (1384, 1)]"
9462,9462,종근당건강 아이케어 오메가3 6개월분 비타민A 비타민E 혈행 중성지질 개선 항산화 눈영양제 눈건강,2011.01.21,"아직 개봉해보지 않아서 잘은 모르겠지만 괜찮을거라 생각합니다. 어머니께 선물 할건데, 뜯어볼수가 없어서...ㅎ 어머니가 이제품인지는 잘 모르겠지만, 오메가3 드시고 나서 어깨 통증이 조금씩 괜찮아 지셨다고 하시길래 1년치를 구매했는데 더 건강하게 오래사셨으면 하는 바람으로 리뷰작성합니다. 종근당... 믿을수 있겠져??",3.0,gfdc***,"['아직', '개봉', '해보다', '않다', '자다', '모르다', '괜찮다', '생각', '하다', '어머니', '선물', '하다', '뜯다', '보다', '없다', '어머니', '제품', '자다', '모르다', '오메가', '들다', '나서다', '어깨', '통증', '조금씩', '괜찮다', '지다', '하다', '구매', '하다', '건강하다', '오래', '사다', '하다', '바람', '리뷰', '작성', '하다', '종근당', '믿다', '있다']",아직 개봉 해보다 모르다 괜찮다 선물 제품 모르다 오메가 나서다 어깨 통증 조금씩 괜찮다 지다 구매 건강하다 오래 사다 바람 리뷰 작성 종근당 믿다,"[(7, 1), (28, 2), (30, 1), (32, 1), (35, 1), (36, 1), (66, 1), (119, 2), (120, 1), (158, 1), (164, 1), (223, 1), (356, 1), (588, 1), (589, 1), (619, 1), (818, 1), (852, 1), (871, 1), (1051, 1), (1385, 1), (1386, 1)]"
9531,9531,[종근당건강]프로메가 트리플 오메가3(장용성) 3박스,2021.11.11,"배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요
아직 복용전이라....그래도 종근당꺼니까 효과는 있지 않을까요?
상세보기",3.0,ra8507,"['배송', '보통', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '아직', '복용', '전이', '그래도', '종근당', '효과', '있다', '않다', '상세', '보기']",아직 복용 전이 종근당,"[(14, 1), (30, 1), (588, 1), (1387, 1)]"
9569,9569,[종근당건강]프로메가 트리플 오메가3(장용성) 3박스,2019.12.21,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
몸이 뚱뚱한 편인데 그러면 혈관이 막힐수도 있다고 남편이 사먹으라고 권장해서 구매했어요..
오메가3 제품 예전에도 먹은적이 있는데 먹고나서 멸치비린내가 자꾸 올라와서 다 먹지 못한기억이 있어 이번에도 구매를 꺼렸습니다..
몸에 좋다고하고 그 냄새도 적게 난다고해서 섭취했더니 첫날은 먹고 하루종일 불편했어요..
둘째날은 안먹고 세째날은 밥먹고 먹었는데 조금 비린내 올라옴시 덜하더라구요..
이제부터 밥먹고 한알씩 꼬옥 챙겨 먹을까합니다..
상세보기",3.0,kimj*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '뚱뚱하다', '그러면', '혈관', '막히다', '있다', '남편', '사먹다', '권장', '하다', '구매', '하다', '오메가', '제품', '예전', '먹다', '있다', '먹다', '멸치', '비리다', '자꾸', '올라오다', '먹다', '기억', '있다', '이번', '구매', '꺼리다', '좋다', '냄새', '적다', '나다', '하다', '섭취', '하다', '첫날', '먹다', '하루', '종일', '불편하다', '먹다', '먹다', '먹다', '조금', '비리다', '올라오다', '덜하다', '이제', '먹다', '꼬옥', '챙기다', '먹다', '하다', '상세', '보기']",빨르다 뚱뚱하다 혈관 막히다 남편 사먹다 권장 구매 오메가 제품 멸치 비리다 자꾸 올라오다 기억 구매 꺼리다 좋다 냄새 적다 섭취 불편하다 비리다 올라오다 덜하다 꼬옥,"[(8, 1), (19, 1), (32, 1), (35, 1), (90, 1), (115, 1), (120, 2), (193, 2), (194, 2), (227, 1), (276, 1), (350, 1), (377, 1), (522, 1), (585, 1), (759, 1), (845, 1), (1189, 1), (1191, 1), (1388, 1), (1389, 1), (1390, 1), (1391, 1)]"
9674,9674,[종근당건강]프로메가 트리플 오메가3(장용성) 3박스,2019.03.05,"배송 보통이에요 맛 보통이에요 유통기한 보통이에요 효과 보통이에요
아직 효과는 잘 못느끼겠고 종근당 제품이라 믿고 먹고 있습니다.
상세보기",3.0,미루아빈맘,"['배송', '보통', '보통', '유통', '기한', '보통', '효과', '보통', '아직', '효과', '자다', '느끼다', '종근당', '제품', '믿다', '먹다', '있다', '상세', '보기']",아직 느끼다 종근당 제품 믿다,"[(30, 1), (35, 1), (466, 1), (588, 1), (589, 1)]"
