,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,stopremoved_reviews,okt_reviews,mecab_reviews,replaced_review
2190,"나우푸드 로디올라 500mg 베지 캡슐, 60정, 1개",2018.01.10,어댑토겐의 끝판왕이라길래 많이 기대했는데...말도 안되는 소리겠지만 전 이거먹고 불안장애가 더 심해졌어요ㅋㅋ물론 시기적 우연이겠지만..,2.0,Cera ,어댑토겐의 끝판왕이라길래 많이 기대했는데...말도 안되는 소리겠지만 전 이거먹고 불안장애가 더 심해졌어요ㅋㅋ물론 시기적 우연이겠지만..,어댑토겐의 끝판왕이라길래 기대했는데...말도 안되는 소리겠지만 전 이거먹고 불안장애가 더 심해졌어요ㅋㅋ물론 시기적 우연이겠지만..,어댑토겐 끝판 안되다 소리 불안장애 기적 우연,댑토겐 끝판 안 되 소리 불안 장애 기적 우연,댑토겐 끝판 안 되 소리 불안 장애 기적 우연
2411,"코어업 활력 충전, 60정, 3개",2020.05.12,"차이 없음
아예 비타민C 먹는것이 나을것
홍보만 요란
최근에 구입한 영양제 중에 가장 후회막급. ㅜ",1.0,갓잡은생선 ,"차이 없음
아예 비타민C 먹는것이 나을것
홍보만 요란
최근에 구입한 영양제 중에 가장 후회막급. ㅜ",차이 없음 아예 비타민C 먹는것이 나을것 홍보만 요란 최근에 구입한 영양제 중에 가장 후회막급. ㅜ,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회
2518,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2018.11.27,"기대많이하고 구입했는데 약이 너무 커요ㅜㅜ
타이레놀이랑 비교샷 올려요 사자마자 하나 먹다가 목에 걸려서 웩 ㅜㅜ 59알 어떻게야 할지 ㅠㅠ 신랑꺼까지 두통이나 샀는데 골치네요 흑흑",1.0,천상지니 ,"기대많이하고 구입했는데 약이 너무 커요ㅜㅜ
타이레놀이랑 비교샷 올려요 사자마자 하나 먹다가 목에 걸려서 웩 ㅜㅜ 59알 어떻게야 할지 ㅠㅠ 신랑꺼까지 두통이나 샀는데 골치네요 흑흑",기대많이하고 구입했는데 약이 커요ㅜㅜ 타이레놀이랑 비교샷 올려요 사자마자 먹다가 목에 걸려서 웩 ㅜㅜ 59알 어떻게야 할지 ㅠㅠ 신랑꺼까지 두통이나 샀는데 골치네요 흑흑,기대 구입 타이레놀 비교 자마자 어떻다 신랑 두통 골치,기대 구입 타이 비교 자마 어떻 신랑 두통 골치,기대 구입 타이 비교 자마 어떻 신랑 두통 골치
2527,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2022.06.27,"선물세트로팔면서 쇼핑백을 안 주는건 뭔심보인지
상품메인사진에 쇼핑백사진도 지워요
쇼핑백 같이 안 주니까 사시려는분들 참고하시길",1.0,최*혁 ,"선물세트로팔면서 쇼핑백을 안 주는건 뭔심보인지
상품메인사진에 쇼핑백사진도 지워요
쇼핑백 같이 안 주니까 사시려는분들 참고하시길",선물세트로팔면서 쇼핑백을 안 주는건 뭔심보인지 상품메인사진에 쇼핑백사진도 지워요 쇼핑백 안 주니까 사시려는분들 참고하시길,선물 세트 팔면 쇼핑 안 주다 심보 상품 메인 사진 참고,선물 세트 팔 쇼핑 안 주 심보 상품 메인 사진 참고,선물 세트 팔 쇼핑 안 주 심보 상품 메인 사진 참고
2531,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2023.07.04,"2주정도 된것같은데 알약이 너무커서 계속 걸려요ㅜㅜ
못삼키겠어요ㅜㅜ
그냥 잘 삼키는 신랑이 다먹기로....ㅠㅠ
이때까지 먹었던 영양제중에 제일크네요ㅜㅜ",2.0,오*윤 ,"2주정도 된것같은데 알약이 너무커서 계속 걸려요ㅜㅜ
못삼키겠어요ㅜㅜ
그냥 잘 삼키는 신랑이 다먹기로....ㅠㅠ
이때까지 먹었던 영양제중에 제일크네요ㅜㅜ",2주정도 된것같은데 알약이 너무커서 걸려요ㅜㅜ 못삼키겠어요ㅜㅜ 잘 삼키는 신랑이 다먹기로....ㅠㅠ 이때까지 먹었던 영양제중에 제일크네요ㅜㅜ,주정 알약 커서 신랑 먹기 영양 제중 제일,주정 알약 커서 신랑 먹 영양 제중 제일,주정 알약 커서 신랑 먹 영양 제중 제일
2541,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2022.03.02,선물세트 선물할려고 두박스주문했는데 종이가방을안주시면 어떻게요 없는걸달라는것도아니고 종이가방이포함되있지않나요 상품소개에도 고객평가사진에도 종이가방이다있는데,1.0,정*덕 ,선물세트 선물할려고 두박스주문했는데 종이가방을안주시면 어떻게요 없는걸달라는것도아니고 종이가방이포함되있지않나요 상품소개에도 고객평가사진에도 종이가방이다있는데,선물세트 선물할려고 두박스주문했는데 종이가방을안주시면 어떻게요 없는걸달라는것도아니고 종이가방이포함되있지않나요 상품소개에도 고객평가사진에도 종이가방이다있는데,선물 세트 박스 주문 종이가방 안주시 없다 달라 포함 상품 소개 고객 평가 사진,선물 세트 박스 주문 종이 가방 안 주 없 포함 상품 소개 고객 평가 사진,선물 세트 박스 주문 종이 가방 안 주 없 포함 상품 소개 고객 평가 사진
2543,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2021.09.14,"쇼핑백도 같이 오는거 아니였나요?
선물하려고 산건데 박스에 포장돼서 온 것도 아니고
기분 나쁘네요..",2.0,김*영 ,"쇼핑백도 같이 오는거 아니였나요?
선물하려고 산건데 박스에 포장돼서 온 것도 아니고
기분 나쁘네요..",쇼핑백도 오는거 아니였나요? 선물하려고 산건데 박스에 포장돼서 온 것도 아니고 기분 나쁘네요..,쇼핑 백도 선물 박스 포장 기분,쇼핑 백도 선물 박스 포장 기분,쇼핑 백도 선물 박스 포장 기분
2544,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2022.09.10,쇼핑백과 약통이 오지않았습니다. 사진보고 선물용으로 산거라 ...,1.0,여*원 ,쇼핑백과 약통이 오지않았습니다. 사진보고 선물용으로 산거라 ...,쇼핑백과 약통이 오지않았습니다. 사진보고 선물용으로 산거라 ...,쇼핑 오지 사진 보고 선물,쇼핑 오 사진 보 선물,쇼핑 오 사진 보 선물
2547,"얼라이브 원스데일리 프리미엄 비타민 선물세트, 1세트, 60정",2023.05.06,"선물용도인데?
이건 걍 줘도 기분 나쁠듯
별 한개도 아까움",1.0,한*이 ,"선물용도인데?
이건 걍 줘도 기분 나쁠듯
별 한개도 아까움",선물용도인데? 걍 줘도 기분 나쁠듯 별 한개도 아까움,선물 용도 기분 개도,선물 용도 기분 개도,선물 용도 기분 개도
2559,"뉴트리라이트 앨로케어 건강기능식품, 180정, 1개, 180정",2019.09.29,"여름에서 가을로 넘어갈때 비염이 많이 심해요
종합감기약을 먹으면 그나마 비염 증세가 호전돼서 그렇게 하던 중 이 영양제를 추천 받아 사용 중이에요.

암웨이 영양제들의 단점은 너무 많은 양을 먹어서 위에 부담이 간다는 점이에요.
암웨이 트리플엑스도 먹기만 하면 위에 부담이 되어서 구토가 나서 안먹는 사람 중 하나에요.

이번 영양제도 위에 부담이 약간 가고 아직까지 아무 효능이 없네요.
한달이상 복용해 봐야 겠지만 아직 모르겠어요.",2.0,최*희 ,"여름에서 가을로 넘어갈때 비염이 많이 심해요
종합감기약을 먹으면 그나마 비염 증세가 호전돼서 그렇게 하던 중 이 영양제를 추천 받아 사용 중이에요.

암웨이 영양제들의 단점은 너무 많은 양을 먹어서 위에 부담이 간다는 점이에요.
암웨이 트리플엑스도 먹기만 하면 위에 부담이 되어서 구토가 나서 안먹는 사람 중 하나에요.

이번 영양제도 위에 부담이 약간 가고 아직까지 아무 효능이 없네요.
한달이상 복용해 봐야 겠지만 아직 모르겠어요.",여름에서 가을로 넘어갈때 비염이 심해요 종합감기약을 먹으면 그나마 비염 증세가 호전돼서 그렇게 하던 중 영양제를 추천 받아 중이에요. 암웨이 영양제들의 단점은 많은 양을 먹어서 위에 부담이 간다는 점이에요. 암웨이 트리플엑스도 먹기만 위에 부담이 되어서 구토가 안먹는 중 하나에요. 영양제도 위에 부담이 가고 아직까지 효능이 없네요. 한달이상 복용해 봐야 겠지만 아직 모르겠어요.,여름 가을로 넘어가다 비염 심해 종합 감기 증세 호전 양제 추천 중이 암웨이 단점 많다 부담 간다 트리플 엑스 먹기 구토 먹다 하나 영양 제도 효능 달이 복용,여름 가을 넘어가 비염 심해 종합 감기 증세 호전 양제 추천 암웨이 단점 많 부담 간다 트리플 엑스 먹 구토 먹 하나 영양 제도 효능 복용,여름 가을 넘어가 비염 심해 종합 감기 증세 호전 양제 추천 암웨이 단점 많 부담 간다 트리플 엑스 먹 구토 먹 하나 영양 제도 효능 복용
2571,"뉴트리라이트 앨로케어 건강기능식품, 180정, 1개, 180정",2019.01.20,미국에서 나온 친구가 계절성 알러지로 고생하는 제게 미국에서 가져왔다며 먹어보라고 줘서 먹어보고 효과가 좋아서 구입했어요. 그런데 미국 암웨이와 국내 암웨이 제품에 차이가 있는지 같은 제품인데 이거는 효과가 별로라 먹다 말았어요.,2.0,이*현 ,미국에서 나온 친구가 계절성 알러지로 고생하는 제게 미국에서 가져왔다며 먹어보라고 줘서 먹어보고 효과가 좋아서 구입했어요. 그런데 미국 암웨이와 국내 암웨이 제품에 차이가 있는지 같은 제품인데 이거는 효과가 별로라 먹다 말았어요.,미국에서 나온 친구가 계절성 알러지로 고생하는 제게 미국에서 가져왔다며 먹어보라고 줘서 먹어보고 효과가 좋아서 구입했어요. 그런데 미국 암웨이와 국내 암웨이 제품에 차이가 있는지 같은 제품인데 이거는 효과가 별로라 먹다 말았어요.,미국 친구 계절 알러지 고생 하다 보라 보고 효과 구입 암웨이 국내 제품 차이 같다 별로,미국 친구 계절 알 러지 고생 하 보 보 효과 구입 암웨이 국내 제품 차이 같 별로,미국 친구 계절 알 러지 고생 하 보 보 효과 구입 암웨이 국내 제품 차이 같 별로
2773,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2023.06.20,"이런 젠장...
영양제를 8종류 정도 먹음.
비타민 a b c e 그리고 프로폴리스 오메가3 글루타치온에 지금 이 피크노제놀을 한달정도 먹음.
먹으려고 약을 꺼내면서 무조건 한번 상태를 보는데 약이 뭔가 이상함.
약제 상태가 메롱해보여서 열어봤더니 저딴 상태...
지금까지 먹은 거 게워낼뻔..
꺼내서 이리저리 둘러봐도 정상적으론 안보임.
약이 아니라 뭔 똥같고...
아 짜증나네... 비싼약이..",1.0,임*국 ,"이런 젠장...
영양제를 8종류 정도 먹음.
비타민 a b c e 그리고 프로폴리스 오메가3 글루타치온에 지금 이 피크노제놀을 한달정도 먹음.
먹으려고 약을 꺼내면서 무조건 한번 상태를 보는데 약이 뭔가 이상함.
약제 상태가 메롱해보여서 열어봤더니 저딴 상태...
지금까지 먹은 거 게워낼뻔..
꺼내서 이리저리 둘러봐도 정상적으론 안보임.
약이 아니라 뭔 똥같고...
아 짜증나네... 비싼약이..",젠장... 영양제를 8종류 먹음. 비타민 a b c e 프로폴리스 오메가3 글루타치온에 피크노제놀을 한달정도 먹음. 먹으려고 약을 꺼내면서 무조건 상태를 보는데 약이 이상함. 약제 상태가 메롱해보여서 열어봤더니 저딴 상태... 지금까지 먹은 거 게워낼뻔.. 꺼내서 이리저리 둘러봐도 정상적으론 안보임. 약이 아니라 뭔 똥같고... 짜증나네... 비싼약이..,젠장 양제 종류 먹음 비타민 프로폴리스 오메가 글루 타치 피크 정도 무조건 상태 약제 메롱 저딴 지금 낼뻔 비싸다,젠장 양제 종류 먹 비타민 프로 폴리스 오메가 글루 타치 피크 정도 무조건 상태 약제 메롱 저딴 지금 비싸,젠장 양제 종류 먹 비타민 프로 폴리스 오메가 글루 타치 피크 정도 무조건 상태 약제 메롱 저딴 지금 비싸
2783,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2019.06.28,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 오늘 받아서 더 겪어봐야 알듯요.. 원래 이래 작나요?? 양도 얼마 안될듯한데.. 일단 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,2.0,김*아 ,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 오늘 받아서 더 겪어봐야 알듯요.. 원래 이래 작나요?? 양도 얼마 안될듯한데.. 일단 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 받아서 더 겪어봐야 알듯요.. 작나요?? 양도 안될듯한데.. 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,사이즈 보고 놀람 돈 주거 깜놀 잘못 미니 효과 알다 양도 냄새 넘김,사이즈 보 놀람 돈 주거 깜놀 잘못 미니 효과 알 냄새 넘김,사이즈 보 놀람 돈 주거 깜놀 잘못 미니 효과 알 냄새 넘김
2792,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2020.02.29,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 보니 피로에 좋다고 하는데 저는 이거 먹은지 좀 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,2.0,김*아 ,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 보니 피로에 좋다고 하는데 저는 이거 먹은지 좀 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 피로에 좋다고 저는 먹은지 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,어디가 은진 자다 다른 피로 관절 무릎 도대체 효과,어디 은진 자다 다른 관절 무릎 도대체 효과,어디 은진 자다 다른 관절 무릎 도대체 효과
2793,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2023.03.03,"혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다
그외 혈압영양제 코큐텐 오메가3 블러드프레셔 모두 2알씩 1년이상 먹었지만 효과는 없는듯합니다
그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 하루 물1리터먹기 양파즙먹기 등 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐
4~5년간 장기 복용해야 효과가 있을것같습니다",1.0,이*욱 ,"혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다
그외 혈압영양제 코큐텐 오메가3 블러드프레셔 모두 2알씩 1년이상 먹었지만 효과는 없는듯합니다
그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 하루 물1리터먹기 양파즙먹기 등 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐
4~5년간 장기 복용해야 효과가 있을것같습니다",혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다 그외 혈압영양제 코큐텐 오메가3 블러드프레셔 2알씩 1년이상 먹었지만 효과는 없는듯합니다 그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 물1리터먹기 양파즙먹기 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐 4~5년간 장기 복용해야 효과가 있을것같습니다,혈압 하루 변화 양제 코큐텐 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹기 걷기 물 리터 양파 매일 단기간 장기 복용,혈압 하루 변화 양제 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹 걷 물 리터 양파 매일 단기간 장기 복용,혈압 하루 변화 양제 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹 걷 물 리터 양파 매일 단기간 장기 복용
2960,"스완슨 아스타잔틴 & 제아잔틴 소프트젤, 60개입, 1개, 60정",2019.08.08,"여름에는 절대 구매하지 마세요.
떡이 되어 왔내요. 가격을 두배 올려 안먹을려다가.. 다른거랑 구성 때문에 어쩔 수 없이 한통만 더 주문했다가 돈버렸네요.",2.0,박*준 ,"여름에는 절대 구매하지 마세요.
떡이 되어 왔내요. 가격을 두배 올려 안먹을려다가.. 다른거랑 구성 때문에 어쩔 수 없이 한통만 더 주문했다가 돈버렸네요.",여름에는 구매하지 마세요. 떡이 되어 왔내요. 가격을 두배 올려 안먹을려다가.. 다른거랑 구성 어쩔 수 없이 한통만 더 주문했다가 돈버렸네요.,여름 구매 가격 다르다 구성 주문,여름 구매 가격 다르 구성 주문,여름 구매 가격 다르 구성 주문
2967,"스완슨 아스타잔틴 & 제아잔틴 소프트젤, 60개입, 1개, 60정",2019.06.09,정확히 2달전에 만원에 샀는데 60개입 하루 한알씩 다 먹고 또 사러 돌아오니 4만원이 되어있네요?,1.0,강*민 ,정확히 2달전에 만원에 샀는데 60개입 하루 한알씩 다 먹고 또 사러 돌아오니 4만원이 되어있네요?,정확히 2달전에 만원에 샀는데 60개입 한알씩 다 먹고 사러 돌아오니 4만원이 되어있네요?,만원 개입,개입,개입
3009,"암웨이 칼맥 디 멀티비타민 무기질, 360정, 1개",2022.04.15,"정품이 맞는지 의심이 드네요...
암웨이에서 꾸준히 먹는 제품인데...
몇천원 싸길래 구매를 했는데....
정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네.
이건 완전개봉되서 왔네요.",1.0,오*민 ,"정품이 맞는지 의심이 드네요...
암웨이에서 꾸준히 먹는 제품인데...
몇천원 싸길래 구매를 했는데....
정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네.
이건 완전개봉되서 왔네요.","정품이 맞는지 의심이 드네요... 암웨이에서 먹는 제품인데... 몇천원 싸길래 구매를 했는데.... 정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네. 완전개봉되서 왔네요.",정품 의심 암웨이 제품 천원 구매 품다 입구 먹기 시작 완전 개봉,정품 의심 암웨이 제품 구매 품 입 먹 시작 완전 개봉,정품 의심 암웨이 제품 구매 품 입 먹 시작 완전 개봉
3015,"암웨이 칼맥 디 멀티비타민 무기질, 360정, 1개",2018.08.09,"이상품 몇년째 꾸준히 먹고있음
몸상태는 예전보다 많이 좋아졋음
비싸서 돈 아끼는것보다는 먹어서
남는게 건강한거 빼고는 없음
꾸준하게 계속 드셔서 유지중",2.0,하*희 ,"이상품 몇년째 꾸준히 먹고있음
몸상태는 예전보다 많이 좋아졋음
비싸서 돈 아끼는것보다는 먹어서
남는게 건강한거 빼고는 없음
꾸준하게 계속 드셔서 유지중",이상품 몇년째 먹고있음 몸상태는 예전보다 좋아졋음 비싸서 돈 아끼는것보다는 먹어서 남는게 건강한거 빼고는 없음 꾸준하게 드셔서 유지중,상품 상태 예전 좋아졋음 유지,상품 상태 예전 좋 졋음 유지,상품 상태 예전 좋 졋음 유지
3047,"여성 종합비타민 비타민d 비타민c 미네랄 영양제 여자 종합영양제 피로회복 멀티비타민 비타민b 비오틴 엽산 함유 스프링리버 알약통증정, 90정, 1개",2022.08.05,반은 먹은거 같아요ㆍ피로감도 줄어서 잠을 두세시간만 자도 쌩쌩해져요ㆍ그런뎌 불면증도 생기고 무엇보다 정수리 ㆍ이마쪽 탈모가 와서 중단핸어요ㆍ비타민 에이 성분이 100프로네요ㆍ,1.0,김*미 ,반은 먹은거 같아요ㆍ피로감도 줄어서 잠을 두세시간만 자도 쌩쌩해져요ㆍ그런뎌 불면증도 생기고 무엇보다 정수리 ㆍ이마쪽 탈모가 와서 중단핸어요ㆍ비타민 에이 성분이 100프로네요ㆍ,반은 먹은거 같아요ㆍ피로감도 줄어서 잠을 두세시간만 자도 쌩쌩해져요ㆍ그런뎌 불면증도 생기고 무엇보다 정수리 ㆍ이마쪽 탈모가 와서 중단핸어요ㆍ비타민 에이 성분이 100프로네요ㆍ,피로 시간 자도 불면증 생기 무엇 정수리 탈모 중단 비타민 에이 성분 프로 핸어,시간 자도 불면증 생기 무엇 정수리 탈모 중단 비타민 에이 성분 프로,시간 자도 불면증 생기 무엇 정수리 탈모 중단 비타민 에이 성분 프로
3056,"여성 종합비타민 비타민d 비타민c 미네랄 영양제 여자 종합영양제 피로회복 멀티비타민 비타민b 비오틴 엽산 함유 스프링리버 알약통증정, 90정, 1개",2022.09.21,"알약이 커서 몸 넘김이 불편하고 낱개 포장이 아니라 약 끼리 붙어서 관리 하기가 불편 합니다
먹은지 1주일이라 효과는 아직 이고요",2.0,강*희 ,"알약이 커서 몸 넘김이 불편하고 낱개 포장이 아니라 약 끼리 붙어서 관리 하기가 불편 합니다
먹은지 1주일이라 효과는 아직 이고요",알약이 커서 몸 넘김이 불편하고 낱개 포장이 아니라 약 끼리 붙어서 관리 하기가 불편 먹은지 1주일이라 효과는 아직 이고요,알약 커서 넘김 낱개 포장 끼리 관리 불편 주일 효과 고요,알약 커서 넘김 낱개 포장 끼리 관리 불편 주일 효과 고요,알약 커서 넘김 낱개 포장 끼리 관리 불편 주일 효과 고요
3129,"스완슨 울트라 실리포스 300mg 캡슐, 60개입, 1개, 60정",2018.12.12,나우 푸드사 실리마린이 효과가 더 좋은것 같아요 ~~,2.0,최*성 ,나우 푸드사 실리마린이 효과가 더 좋은것 같아요 ~~,나우 푸드사 실리마린이 효과가 더 좋은것 ~~,나우 푸드 실리 마린 효과 좋다,나우 푸드 실리 마린 효과 좋,나우 푸드 실리 마린 효과 좋
3130,"스완슨 울트라 실리포스 300mg 캡슐, 60개입, 1개, 60정",2019.02.28,"이미 저가 브랜드로 함량이나 순도는 믿기 힘든곳인건 잘 알고 있었지만
갯수까지 속일줄은 몰랐습니다.
심지어 120알이나 180알 이렇게 많이 들어가는것을 속이지 않고
60알짜리를 속였네요.
개봉하자마자 락앤락에 쏟아붓고 두개씩 집어가며 세봤는데
정확히 56알 나왔습니다.

원래 왠만하면 주문 안하던 브랜드였지만 알면 알수록 놀라워지네요.",1.0,쿠팡실구매자 ,"이미 저가 브랜드로 함량이나 순도는 믿기 힘든곳인건 잘 알고 있었지만
갯수까지 속일줄은 몰랐습니다.
심지어 120알이나 180알 이렇게 많이 들어가는것을 속이지 않고
60알짜리를 속였네요.
개봉하자마자 락앤락에 쏟아붓고 두개씩 집어가며 세봤는데
정확히 56알 나왔습니다.

원래 왠만하면 주문 안하던 브랜드였지만 알면 알수록 놀라워지네요.",이미 저가 브랜드로 함량이나 순도는 믿기 힘든곳인건 잘 알고 있었지만 갯수까지 속일줄은 몰랐습니다. 120알이나 180알 이렇게 들어가는것을 속이지 않고 60알짜리를 속였네요. 개봉하자마자 락앤락에 쏟아붓고 두개씩 집어가며 세봤는데 정확히 56알 나왔습니다. 왠만하면 주문 안하던 브랜드였지만 알면 알수록 놀라워지네요.,저가 브랜드 함량 순도 힘드다 갯수 알짜 개봉 자마자 락앤락 왠만하다 주문 안 하다,브랜드 함량 힘드 알짜 개봉 마자 락앤락 왠만 주문 안 하,브랜드 함량 힘드 알짜 개봉 마자 락앤락 왠만 주문 안 하
3137,"스완슨 아스타잔틴 & 제아잔틴 소프트젤, 60개입, 1개, 60정",2019.06.09,정확히 2달전에 만원에 샀는데 60개입 하루 한알씩 다 먹고 또 사러 돌아오니 4만원이 되어있네요?,1.0,강*민 ,정확히 2달전에 만원에 샀는데 60개입 하루 한알씩 다 먹고 또 사러 돌아오니 4만원이 되어있네요?,정확히 2달전에 만원에 샀는데 60개입 한알씩 다 먹고 사러 돌아오니 4만원이 되어있네요?,만원 개입,개입,개입
3194,"숫사슴 녹혈 뉴질랜드 숫사슴녹혈 100% 피로회복제 피로회복영양제 만성피로 영양제 만성피로회복제 자양강장제 사은품증정, 1박스 2개월분 사은품증정",2022.08.31,"오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 하는데 신물이 약간 넘어왔는데 딱 숫사슴그거만 넘어옮 윽..
그러고 머리가 더 무거워진거 같음
(아침에 다른거랑 해서 5개먹었는데 그거만 넘어오냐)~윽..",1.0,김*두 ,"오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 하는데 신물이 약간 넘어왔는데 딱 숫사슴그거만 넘어옮 윽..
그러고 머리가 더 무거워진거 같음
(아침에 다른거랑 해서 5개먹었는데 그거만 넘어오냐)~윽..",오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 신물이 넘어왔는데 숫사슴그거만 넘어옮 윽.. 그러고 머리가 더 무거워진거 같음 (아침에 다른거랑 5개먹었는데 그거만 넘어오냐)~윽..,오늘 회사 츨근 커피 신물 사슴 그거 넘어옮 머리 아침 다르다,오늘 회사 츨근 커피 신물 사슴 그거 넘 옮 머리 아침 다르,오늘 회사 츨근 커피 신물 사슴 그거 넘 옮 머리 아침 다르
3213,"뉴트리딘 프리미엄 피로개선 홍경천 플러스, 60정, 1개",2021.12.23,"약이왜이러죠??
약통에가득찬게아니고.바닥에서 아주조금올라와있는게
다고 약이왜이닌거죠
진짜황당했습니다",1.0,이*실 ,"약이왜이러죠??
약통에가득찬게아니고.바닥에서 아주조금올라와있는게
다고 약이왜이닌거죠
진짜황당했습니다",약이왜이러죠?? 약통에가득찬게아니고.바닥에서 아주조금올라와있는게 다고 약이왜이닌거죠 진짜황당했습니다,득찬 바닥 아주 조금 닌거 진짜 이닌거,바닥 아주 조금 진짜,바닥 아주 조금 진짜
3214,"뉴트리딘 프리미엄 피로개선 홍경천 플러스, 60정, 1개",2022.06.20,"좋다고 해서 구매했는데 그냥 ㅇㄹㄴㅁ 이나 먹을껄
전혀 도움 안됩니다.",1.0,임*경 ,"좋다고 해서 구매했는데 그냥 ㅇㄹㄴㅁ 이나 먹을껄
전혀 도움 안됩니다.",좋다고 구매했는데 ㅇㄹㄴㅁ 먹을껄 전혀 도움 안됩니다.,구매 먹을껄 전혀 도움,구매 먹 을껄 전혀 도움,구매 먹 을껄 전혀 도움
3220,"뉴트리딘 프리미엄 피로개선 홍경천 플러스, 60정, 1개",2022.03.18,포장 이 별로.,1.0,최*종 ,포장 이 별로.,포장 별로.,포장 별로,포장,포장
